Location of death (city),State,Latitude,Longitude,Agency or agencies involved,Highest level of force
Garden Grove,CA,33.7888591,-117.91122,"California Highway Patrol, Garden Grove Police Department",Vehicle
Hughson,CA,37.6156333,-120.89282,Stanislaus County Sheriff's Office,Vehicle
Los Angeles,CA,34.0229283,-118.2824,Los Angeles Police Department,Vehicle
Dunnigan,CA,38.891675,-121.98072,California Highway Patrol,Vehicle
San Ramon,CA,37.762697,-121.95709,Danville Police Department,Vehicle
Paradise,CA,39.7513617,-121.62543,Paradise Police Department,Vehicle
San Jose,CA,37.3167881,-121.95507,California Highway Patrol,Vehicle
Culver City,CA,34.0232793,-118.39877,Los Angeles Police Department,Vehicle
Lemoore,CA,36.3439683,-119.85129,California Highway Patrol,Vehicle
Lemoore,CA,36.3439683,-119.85129,California Highway Patrol,Vehicle
West Hollywood,CA,34.0849456,-118.38411,Los Angeles County Sheriff's Department,Vehicle
Chula Vista,CA,32.6232014,-117.06379,Chula Vista Police Department,Vehicle
French Camp,CA,37.8855836,-121.27305,San Joaquin County Sheriff's Office,Vehicle
French Camp,CA,37.8855836,-121.27305,San Joaquin County Sheriff's Office,Vehicle
French Camp,CA,37.8855836,-121.27305,San Joaquin County Sheriff's Office,Vehicle
French Camp,CA,37.8855836,-121.27305,San Joaquin County Sheriff's Office,Vehicle
Antioch,CA,38.0028673,-121.83648,Pittsburg Police Department,Vehicle
Rialto,CA,34.1103801,-117.38348,Rialto Police Department,Vehicle
Gardena,CA,33.8928609,-118.27869,California Highway Patrol,Vehicle
Gardena,CA,33.8928609,-118.27869,California Highway Patrol,Vehicle
Fresno,CA,36.7710453,-119.723,Fresno County Sheriff's Office,Vehicle
Sacramento,CA,38.6028936,-121.5407,Sacramento Police Department,Vehicle
Bakersfield,CA,35.4195356,-119.03899,Kern County Sheriff's Office,Vehicle
Marysville,CA,39.1576723,-121.5889,Marysville Police Department,Vehicle
Orange,CA,33.809029,-117.86216,California Highway Patrol,Vehicle
Modesto,CA,37.6575071,-120.97101,Modesto Police Department,Vehicle
San Fernando,CA,34.2846942,-118.44226,Los Angeles Police Department,Vehicle
San Francisco,CA,37.7182878,-122.42587,San Francisco Police Department,Vehicle
Pomona,CA,34.0899017,-117.75284,Claremont Police Department,Vehicle
Orange,CA,33.7882008,-117.85303,California Highway Patrol,Vehicle
Sacramento,CA,38.6174645,-121.44041,Sacramento Police Department,Vehicle
Richmond,CA,37.9443638,-122.34546,Richmond Police Department,Vehicle
San Francisco,CA,37.7926612,-122.40444,San Francisco Police Department,Vehicle
Oroville,CA,39.3865514,-121.57656,Butte County Sheriff's Office,Vehicle
Los Angeles,CA,33.9632687,-118.27392,Los Angeles Police Department,Vehicle
Stockton,CA,37.953931,-121.27649,California Highway Patrol,Vehicle
Santa Rosa,CA,38.4147498,-122.71355,Sonoma County Sheriff's Office,Vehicle
Gardena,CA,33.9018922,-118.28528,Gardena Police Department,Vehicle
Marina Del Rey,CA,33.9774513,-118.43183,Los Angeles Police Department,Vehicle
Palm Desert,CA,33.7405846,-116.30392,California Highway Patrol,Vehicle
Santa Maria,CA,34.9221211,-120.43595,Santa Maria Police Department,Vehicle
Riverside,CA,33.9755225,-117.35963,Riverside Police Department,Vehicle
Oroville,CA,39.4490706,-121.55211,California Highway Patrol,Vehicle
San Francisco,CA,37.8088095,-122.36799,California Highway Patrol,Vehicle
Tustin,CA,33.7587603,-117.80202,California Highway Patrol,Vehicle
Tustin,CA,33.7587603,-117.80202,California Highway Patrol,Vehicle
Long Beach,CA,33.764447,-118.20692,Westminster Police Department,Vehicle
Brisbane,CA,37.700952,-122.40856,Daly City Police Department,Vehicle
Los Angeles,CA,34.0506023,-118.26168,Los Angeles County Sheriff's Department,Vehicle
Los Angeles,CA,34.0506023,-118.26168,Los Angeles County Sheriff's Department,Vehicle
Ashland,CA,37.698395,-122.11886,Alameda County Sheriff's Office,Vehicle
Anaheim,CA,33.8463617,-117.87122,Santa Ana Police Department,Vehicle
Visalia,CA,36.3369219,-119.28791,Visalia Police Department,Vehicle
Pixley,CA,35.9685764,-119.2917,California Highway Patrol,Vehicle
Glendale,CA,34.1516824,-118.14524,California Highway Patrol,Vehicle
Glendale,CA,34.1516824,-118.14524,California Highway Patrol,Vehicle
Bakersfield,CA,35.4267897,-119.02117,Kern County Sheriff's Office,Vehicle
Tulare,CA,36.1893268,-119.35777,Tulare County Sheriff's Office,Vehicle
Tulare,CA,36.1893268,-119.35777,Tulare County Sheriff's Office,Vehicle
Oakland,CA,37.7965647,-122.25646,Oakland Police Department,Vehicle
